33226224_494.cml_Service_messages_0	Service messages	"Service messages."
34012808_2.cml_Owner's_Manual_on_the_Control_Display_1	Owner's Manual on the Control Display	"Search options in the Owner's Manual

 The following search options are available:
- Using keywords:  Owner's Manual .
- Using pictures:  Search by pictures .1. Press button.
2. Turn the controller: highlight  Vehicle info .
3. Press the controller.
4. Select  Quick reference ,  Search by pictures  or  Owner's Manual ."
34012808_2.cml_Owner's_Manual_on_the_Control_Display_2	Owner's Manual on the Control Display	"Instructions on the current display

 You may open the relevant information directly.
Opening during operation on the Control Display

 To move directly from the application on the Control Display to the options menu:
1. Press button or move the controller to the right repeatedly until the  Options  menu is displayed.
2.  Display Owner's Manual .Opening when a Check Control message is displayed

 Directly from the Check Control message on the Control Display:
 Display Owner's Manual ."
34013153_257.cml_Performance_Control_0	Performance Control	"Performance Control enhances the agility of the vehicle.
To increase maneuverability, with a correspondingly sporty driving style, wheels are braked individually."
34013526_133.cml_Interior_mirror,_automatic_dimming_feature_0	Interior mirror, automatic dimming feature	"Overview

    Photocells are used for control:
- In the mirror glass.
- In the mirror frame.
- On the back of the mirror."
34013526_133.cml_Interior_mirror,_automatic_dimming_feature_1	Interior mirror, automatic dimming feature	"Functional requirements

 - Keep the photocells clean.
- Do not cover the area between the inside rearview mirror and the windshield."
34013526_133.cml_Interior_mirror,_automatic_dimming_feature_2	Interior mirror, automatic dimming feature	"ETC system

 include text 54"
34013641_325.cml_Sun_visor_0	Sun visor	"Glare shield

 Fold the sun visor down or up."
34013641_325.cml_Sun_visor_1	Sun visor	"Vanity mirror

 A vanity mirror is located in the sun visor behind a cover.
When the cover is opened, the mirror lighting switches on."
34014625_556.cml_Requirements_0	Requirements	"- The radio-ready state is switched on.
- The Assist system is functional.
- The SIM card integrated in the vehicle has been activated."
34014749_132.cml_Interior_mirror,_manually_dimmable_0	Interior mirror, manually dimmable	"Flip lever

 To reduce the blinding effect of the interior rear view mirror, flip the lever forward. Turn knob

 Turn the knob to reduce the blinding effect by the interior mirror."
34014770_130.cml_Exterior_mirrors_0	Exterior mirrors	"General information

 The mirror on the passenger side is more curved than the driver's side mirror. Depending on the vehicle equipment, the mirror setting is stored for the profile currently used. When the vehicle is unlocked via the remote control, the position is automatically retrieved if this function is active."
34014770_130.cml_Exterior_mirrors_1	Exterior mirrors	"Information

 Estimating distances correctly"
34014770_130.cml_Exterior_mirrors_2	Exterior mirrors	"Selecting a mirror

 To change over to the other mirror:
Slide the switch."
34014770_130.cml_Exterior_mirrors_3	Exterior mirrors	"Adjusting electrically

 The setting corresponds to the direction in which the button is pressed."
34014770_130.cml_Exterior_mirrors_4	Exterior mirrors	"Saving positions

 Seat and mirror memory"
34014770_130.cml_Exterior_mirrors_5	Exterior mirrors	"Adjusting manually

 In case of electrical malfunction press edges of mirror."
34014770_130.cml_Exterior_mirrors_6	Exterior mirrors	"Automatic Curb Monitor

 The concept

 If reverse gear is engaged, the mirror glass on the front passenger side is tilted downward. This improves your view of the curb and other low-lying obstacles when parking, for example.
Activating

 1. Slide the switch to the driver's side mirror position.
2. Engage selector lever position R.When towing a trailer, the Automatic Curb Monitor is deactivated. Deactivating

 Slide the switch to the passenger side mirror position. Fold in and out

 Fold in the mirror in a car wash
  Press button.
Possible at speeds up to approx. 20 km/h 20 km/h, approx. 15 mph 15 mph/20 km/h .
Folding the mirrors in and out is advantageous in the following situations:
- In car washes.
- On narrow roads.
- For folding mirrors back out that were folded away manually.Mirrors that were folded in are folded out automatically at a speed of approx. 40 km/h 40 km/h, approx. 25 mph 25 mph/40 km/h . Automatic heating

 Both exterior mirrors are automatically heated whenever the engine is running. Automatic dimming feature

 Both exterior mirrors are automatically dimmed. Photocells are used to control the Interior mirror. The exterior mirror on the driver's side is automatically dimmed. Photocells are used to control the Interior mirror."
34015406_195.cml_Head-up_Display_0	Head-up Display	"The concept

 This system projects important information into the driver's field of vision, e. g., the speed.
The driver can quickly absorb information and concentrate on the traffic situation."
34015406_195.cml_Head-up_Display_1	Head-up Display	"Information

 Do not place objects on the Head-up Display
Keep the closing path clear
Follow the instructions for cleaning the Head-up Display."
34015406_195.cml_Head-up_Display_2	Head-up Display	"Overview"
34015406_195.cml_Head-up_Display_3	Head-up Display	"Display visibility

 The visibility of the displays in the Head-up Display is influenced by the following factors:
- Certain sitting positions.
- Objects on the cover of the Head-up Display.
- Sunglasses with certain polarization filters.
- Wet roads.
- Unfavorable light conditions."
34015406_195.cml_Head-up_Display_4	Head-up Display	"Switching on/off

 When switching on, the projection lens of the Head-up Display is extended. When switching off, the projection lens of the Head-up Display is retracted again.
Button in the vehicle
Press button."
34015406_195.cml_Head-up_Display_5	Head-up Display	"Display

 Overview

 The following information is displayed on the Head-up Display:
- Speed.
- Navigation system.
- Check Control messages.
- Selection list from the instrument cluster.
- Driver assistance systems.Some of this information is only displayed briefly as needed.
Selecting displays in the Head-up Display

 On the Control Display:
1.  Settings 
2.  Head-Up Display 
3.  Displayed information 
4. Select the desired displays in the Head-up Display.Settings are stored for the profile currently used.
Setting the brightness

 The brightness is automatically adjusted to the ambient brightness.
The basic setting can be adjusted manually.
On the Control Display:
1.  Settings 
2.  Head-Up Display 
3.  Brightness 
4. Turn the Controller until the desired brightness is set.
5. Press the Controller.When the low beams are activated, the brightness of the Head-up Display can be additionally influenced using the instrument lighting.
Settings are stored for the profile currently used.
Adjusting the height

 On the Control Display:
1.  Settings 
2.  Head-Up Display 
3.  Height 
4. Turn the Controller until the desired height is reached.
5. Press the Controller.Settings are stored for the profile currently used.
Setting the rotation

 The screen of the Head-up Display can be rotated around its own axis.
On the Control Display:
1.  Settings 
2.  Head-Up Display 
3.  Rotation 
4. Turn the Controller until the desired setting is selected.
5. Press the Controller.Settings are stored for the profile currently used."
