33226224_635.cml_Service_messages_0	Service messages	"Service messages."
33230444_504.cml_Range_assistant_0	Range assistant	"The concept

 A check is made of whether an entered destination can be reached with the current charging state of the vehicle.
Only the electrical range is taken into consideration."
33230444_504.cml_Range_assistant_1	Range assistant	"Range recommendations

 The concept

 If the range is not sufficient, various recommendations to help increase the range are displayed automatically.
-  Mode and route: ECO PRO : apply route optimized for fuel consumption.
-  Mode: ECO PRO + : switch to ECO PRO+.
-  Search for charg. stations : search charging stations along the route.ECO PRO route

 1.  Mode and route: ECO PRO A variant of the route optimized for fuel consumption can be calculated and applied in the destination guidance. The new route is displayed in the map view and continued in the destination guidance. Time of arrival and consumption are based on driving in ECO PRO.
ECO PRO+

 The range can be increased by switching to ECO PRO+.
1.  Mode: ECO PRO + 
2. Activate ECO PRO+ with the Driving Dynamics Control.
3. If necessary,  Close message Search charging stations

 Charging stations along the route are searched and can be applied as destinations in the destination guidance or as intermediate destinations.
1.  Search for charg. stations 
2. Select desired charging station.
3.  Start guidance  or  Add as another dest. "
33230444_504.cml_Range_assistant_2	Range assistant	"Manually displaying range recommendations

 If the symbol in the map function bar is yellow or red, the recommendations to help increase the range can be manually displayed.
1.  Navigation 
2.  Map 
3. Move the Controller to the left if needed.
4.  Guidance 
5.  Electric range insufficient "
33230444_504.cml_Range_assistant_3	Range assistant	"Checking the charging stations

 The concept

 The range to a charging station that has already been used, such as home, can be monitored. For this purpose, the respective charging station must be set as a preferred charging station.
When destination guidance is activated, the range to the destination and to the specified charging station is monitored.
Specifying a preferred charging station

 1.  Navigation 
2.  Map 
3. Move the Controller to the left if needed.
4.  Guidance 
5.  Range to charging station 
6.  Preferred charging station 
7. Select desired charging station.The preferred charging station is displayed together with the range on the range map range map .
Color
Meaning
Green
Charging station within range.
Yellow
Charging station just within range.
Red
Charging station not within range.
White
Route not yet calculated.
Activate/deactivate charging station checking

 Range monitoring can only be activated or deactivated when a preferred charging station has been set.
1.  Navigation 
2.  Map 
3. Move the Controller to the left if needed.
4.  Guidance 
5.  Range to charging station 
6.  Range to charging station Deleting a preferred charging station

 1.  Navigation 
2.  Map 
3. Move the Controller to the left if needed.
4.  Guidance 
5.  Range to charging station 
6. Open  Options .
7.  Delete charging station "
33230811_572.cml_Information_0	Information	"Using the mobile phone while driving Using the mobile phone while driving Certain functions may need to be enabled by the mobile phone provider or service provider.
At high temperatures, the charge function of the mobile phone can be limited where appropriate and the functions are no longer executed.
Do not operate a mobile phone that is connected to the vehicle on the mobile phone keypad, as this may lead to a malfunction.
When the mobile phone is used via the vehicle, refer to the owner's manual of the mobile phone."
33230975_639.cml_Reminders_0	Reminders	"General information

 Reminders of pending appointments and tasks are displayed. After an appointment or after a task is due, the reminder is no longer displayed."
33230975_639.cml_Reminders_1	Reminders	"Displaying reminders

 On the Control Display:
1.  Office 
2.  Reminders 
3. Select the desired reminder.
The corresponding appointment or the task is displayed.You can choose whether the reminders are to be transferred from a mobile phone. The reminders can also be transferred from both connected mobile phones.
1. Open  Options .
2. Select the mobile phone from which the reminders are to be transferred."
33230975_639.cml_Reminders_2	Reminders	"Activating/deactivating a Reminder pop-up

 On the Control Display:
1.  Office 
2. Open  Options .
3.  Activate pop-up reminders 
All Reminders for appointments and tasks are displayed in a list on the Control Display when they are due."
33230975_639.cml_Reminders_3	Reminders	"Closing all Reminders

 On the Control Display:
1.  Office 
2.  Reminders 
3.  Close all reminders "
33231968_594.cml_DTMF_suffix_dialing_0	DTMF suffix dialing	"DTMF suffix dialing can be used for gaining access to network services or for controlling devices, for example, to make a remote inquiry of an answering machine. The DTMF code is needed for this purpose.
On the Control Display:
1.  Telephone 
2. Select the contact from a list or  Dial number .
3.  Keypad dialing 
4. Enter DTMF code via iDrive."
33232041_533.cml_Control_elements_0	Control elements	"Control elements

 Traffic bulletins, on/off FM Volume, on/off Programmable memory buttons Change station/track Control elements

 FM/satellite radio FM/manual channel search Volume, on/off Programmable memory buttons Change station/track"
33232376_574.cml_Functions_0	Functions	"Functions"
33232376_574.cml_Functions_1	Functions	"General information

 
		The following functions can be assigned to a mobile phone during pairing."
